[Header]
Data File Name	C:\GCMSsolution\Data\2024\202405\20240514-1.qgd
Output Date	2024/6/11
Output Time	9:39:45

[MS Spectrum]
# of Peaks	62
Raw Spectrum	1.242 -> 1.258 (scan : 126 -> 128)
Background	1.183 <-> 1.367 (scan : 119 <-> 141)
Base Peak	m/z 43.95 (Inten : 299,137)
Event#	1
m/z	Absolute Intensity	Relative Intensity
21.95	1245	0.42
27.05	175	0.06
28.00	23603	7.89
30.00	7	0.00
31.05	24	0.01
31.95	485	0.16
38.95	33	0.01
39.95	41	0.01
42.95	1463	0.49
43.95	299137	100.00
44.95	3537	1.18
45.95	1355	0.45
52.90	4	0.00
54.05	2	0.00
55.00	57	0.02
56.00	25	0.01
57.00	13	0.00
58.00	21	0.01
59.00	4	0.00
65.00	34	0.01
72.00	18	0.01
73.00	18	0.01
77.00	12	0.00
79.00	3	0.00
82.00	5	0.00
85.05	41	0.01
86.10	18	0.01
91.10	16	0.01
99.00	11	0.00
101.00	3	0.00
105.00	7	0.00
107.00	23	0.01
108.00	1	0.00
111.05	20	0.01
113.10	10	0.00
115.10	20	0.01
116.10	11	0.00
117.10	9	0.00
119.10	41	0.01
123.10	9	0.00
124.10	3	0.00
126.10	12	0.00
128.10	34	0.01
129.10	36	0.01
130.10	70	0.02
133.10	18	0.01
137.10	11	0.00
139.10	21	0.01
141.10	72	0.02
145.10	4	0.00
147.10	9	0.00
148.10	70	0.02
149.10	15	0.01
153.10	20	0.01
157.10	4	0.00
161.10	6	0.00
165.10	34	0.01
185.10	9	0.00
229.10	37	0.01
255.10	3	0.00
257.10	71	0.02
386.10	39	0.01
